team1,team2,team1ret,team2ret
1277,1280,0.7936507936507936,0.05
1182,1140,2.3,0.23255813953488372
1103,1166,4.8,0.11363636363636363
1253,1112,13.0,0.025
1447,1314,29.0,0.01
1287,1228,3.5,0.15873015873015872
1332,1376,0.6944444444444444,0.2
1305,1173,0.7692307692307693,0.05
1161,1400,0.3,0.6410256410256411
1324,1246,5.4,0.1
1355,1235,8.8,0.05
1270,1211,1.4,0.3333333333333333
1389,1397,19.0,0.014285714285714285
1301,1403,0.58,0.5208333333333334
1179,1450,0.8333333333333334,0.9523809523809523
1359,1242,1.25,0.35714285714285715
1321,1194,0.5,0.5494505494505495
1159,1124,7.6,0.0625
1412,1361,1.02,0.4
1443,1266,7.9,0.058823529411764705
1307,1155,0.7575757575757576,0.1
1391,1163,29.0,0.01
1463,1120,6.6,0.07692307692307693
1160,1196,0.8333333333333334,0.9259259259259259
1401,1304,0.9090909090909091,0.9090909090909091
1436,1181,4.9,0.1111111111111111
1212,1345,24.0,0.01
1158,1104,1.9,0.26666666666666666
1255,1222,29.0,0.01
1241,1458,0.68,0.4878048780487805
1395,1429,0.5208333333333334,0.46
1213,1388,0.98,0.40816326530612246
1317,1371,0.64,0.5
1173,1112,1.9,0.26666666666666666
1126,1117,5.0,0.1111111111111111
1133,1153,1.35,0.3389830508474576
1211,1242,0.5319148936170213,0.55
1105,1313,2.9,0.18867924528301888
1277,1314,0.5,0.5494505494505495
1175,1370,4.7,0.11764705882352941
1450,1235,1.15,0.37735849056603776
1439,1326,0.88,0.43478260869565216
1324,1301,1.15,0.37735849056603776
1400,1397,1.2,0.36363636363636365
1182,1228,3.0,0.18181818181818182
1332,1166,0.46,0.5617977528089888
1156,1294,0.5617977528089888,0.46
1160,1266,0.68,0.4878048780487805
1342,1285,1.55,0.3125
1278,1232,1.55,0.3125
1429,1345,3.8,0.14084507042253522
1114,1193,0.7936507936507936,0.05
1208,1448,1.6,0.30303030303030304
1241,1181,1.2,0.36363636363636365
1191,1346,0.72,0.47619047619047616
1155,1124,0.5,0.5494505494505495
1213,1104,0.9,0.425531914893617
1433,1378,0.36,0.6097560975609756
1321,1163,7.0,0.07142857142857142
1401,1222,2.3,0.23255813953488372
1234,1428,0.72,0.47619047619047616
1130,1424,0.28,0.6493506493506493
1463,1361,0.95,0.4166666666666667
1155,1112,1.5,0.31746031746031744
1361,1163,4.7,0.11764705882352941
1104,1314,0.58,0.5154639175257731
1228,1235,0.78125,0.9009009009009009
1301,1266,1.5,0.31746031746031744
1211,1345,0.58,0.5154639175257731
1181,1222,0.6,0.5154639175257731
1166,1397,0.28,0.6493506493506493
1228,1163,1.9,0.26666666666666666
1155,1104,0.28,0.6493506493506493
1397,1345,0.3,0.6410256410256411
1301,1181,1.45,0.3225806451612903
1301,1345,2.65,0.20408163265306123
1104,1163,3.2,0.1724137931034483
1345,1163,1.35,0.3389830508474576
